これ、どこですか。, Kore, doko desu ka., Where is this?, 
沖縄です。, Okinawa desu., It’s Okinawa., 
へえ。, Hee., Wow!, 
これは京都です。, Kore wa Kyooto desu., This is Kyoto., 
京都はとてもきれいですよ。, Kyooto wa totemo kiree desu yo., Kyoto is very beautiful., 
そうですね。, Soo desu ne., I think so too., 
タムさんは日本で何をしますか。, Tamu-san wa Nihon de nani o shimasu ka., Tam-san, what are you going to do in Japan?, 
大学で日本語を勉強します。, Daigaku de Nihongo o benkyoo-shimasu., I’m going to study Japanese at a university., 
いいですね。, Ii desu ne., That’s great., 
はい、楽しみです。, Hai, tanoshimi desu.　　, Yes, I’m looking forward to it., , , 
,
これ, kore, this, Add to My Notebook, 
どこ, doko, where, Add to My Notebook, 
沖縄, Okinawa, Okinawa, Add to My Notebook, 
へえ, hee, wow, Add to My Notebook, 
京都, Kyooto, Kyoto, Add to My Notebook, 
とても, totemo, very, Add to My Notebook, 
きれい（な）, kiree (na), beautiful, Add to My Notebook, 
そうですね, soo desu ne, I think so too, Add to My Notebook, 
日本, Nihon, Japan, Add to My Notebook, 
何, nani, what, Add to My Notebook, 
する, suru, do, Add to My Notebook, 
大学, daigaku, university, Add to My Notebook, 
日本語, Nihongo, Japanese language, Add to My Notebook, 
勉強する, benkyoo-suru, study, Add to My Notebook, 
いい, ii, good, Add to My Notebook, 
はい, hai, yes, Add to My Notebook, 
楽しみ（な）, tanoshimi (na), look forward to, 
大学で日本語を勉強します。, Daigaku de Nihongo o benkyoo-shimasu., I’m going to study Japanese at a university., , 
日本で何をしますか。, Nihon de nani o shimasu ka., What are you going to do in Japan?, 
買い物をします。, Kaimono o shimasu., I’m going to go shopping., 
,
天ぷらを食べます。
歌舞伎を見ます。
お土産を買います。
,
楽しみです。, Tanoshimi desu. I’m looking forward to it.
